carrier,carrier_id,destination_wilaya,destination_wilaya_id,destination_zone,zone_id,delivery_type,delivery_type_id,price_da,market_price_mean_da,market_price_median_da,market_price_min_da,market_price_max_da,carrier_count,distance_km,weight_kg,length_cm,width_cm,height_cm,volume_m3,volumetric_weight_kg,urgency,vehicle_type,traffic_index,weather_index,hour_of_day,wassil_historical_price_da,target_price_da,source_date,source_context,source_title,source_url,feature_notes
EcoTrack,4,Adrar,45,south,2,home,0,850.0,1310.0,1400.0,850.0,1500.0,5,,,,,,,,,,,,,,,2025-04-23,public tariff sheet; TAWSILSTAR Guelma,TAWSILSTAR Guelma - ECOTRACK,https://fr.scribd.com/document/1012954749/Frais-Livraison-Tawsilstar-Guelma-Ecotrack,"Public tariff reference. Missing parcel, route, traffic/weather and WASSIL-history features must be populated from verified data before supervised training."
Maystro,2,Adrar,45,south,2,home,0,1400.0,1310.0,1400.0,850.0,1500.0,5,,,,,,,,,,,,,,,2025,public tariff table; départ Alger,Tarifs de Livraison Maystro 2025,https://www.scribd.com/document/795260269/Tarifs-Livraisons,"Public tariff reference. Missing parcel, route, traffic/weather and WASSIL-history features must be populated from verified data before supervised training."
Noest,3,Adrar,45,south,2,home,0,1500.0,1310.0,1400.0,850.0,1500.0,5,,,,,,,,,,,,,,,2025/2026-era copy,public seller tariff table,Noest Express - Vendeur,https://fr.scribd.com/document/1028677151/Noest-Express-Vendeur,"Public tariff reference. Missing parcel, route, traffic/weather and WASSIL-history features must be populated from verified data before supervised training."
Yalidine,0,Adrar,45,south,2,home,0,1400.0,1310.0,1400.0,850.0,1500.0,5,,,,,,,,,,,,,,,2025-ish,public tariff table; destination tariff; source context not stated,Tarifs de Livraison Yalidine en Algérie,https://fr.scribd.com/document/876773342/YALIDINE-PROMOTECH,"Public tariff reference. Missing parcel, route, traffic/weather and WASSIL-history features must be populated from verified data before supervised training."
ZR Express,1,Adrar,45,south,2,home,0,1400.0,1310.0,1400.0,850.0,1500.0,5,,,,,,,,,,,,,,,2024/2025-era,public tariff table; départ Alger,Tarifs de Livraison ZR Express 2024/2025,https://fr.scribd.com/document/846725215/ALGER-TARIFS-1-NEW-1-1,"Public tariff reference. Missing parcel, route, traffic/weather and WASSIL-history features must be populated from verified data before supervised training."
EcoTrack,4,Adrar,45,south,2,stopdesk,1,550.0,924.0,1000.0,550.0,1100.0,5,,,,,,,,,,,,,,,2025-04-23,public tariff sheet; TAWSILSTAR Guelma,TAWSILSTAR Guelma - ECOTRACK,https://fr.scribd.com/document/1012954749/Frais-Livraison-Tawsilstar-Guelma-Ecotrack,"Public tariff reference. Missing parcel, route, traffic/weather and WASSIL-history features must be populated from verified data before supervised training."
Maystro,2,Adrar,45,south,2,stopdesk,1,1000.0,924.0,1000.0,550.0,1100.0,5,,,,,,,,,,,,,,,2025,public tariff table; départ Alger,Tarifs de Livraison Maystro 2025,https://www.scribd.com/document/795260269/Tarifs-Livraisons,"Public tariff reference. Missing parcel, route, traffic/weather and WASSIL-history features must be populated from verified data before supervised training."
Noest,3,Adrar,45,south,2,stopdesk,1,1000.0,924.0,1000.0,550.0,1100.0,5,,,,,,,,,,,,,,,2025/2026-era copy,public seller tariff table,Noest Express - Vendeur,https://fr.scribd.com/document/1028677151/Noest-Express-Vendeur,"Public tariff reference. Missing parcel, route, traffic/weather and WASSIL-history features must be populated from verified data before supervised training."
Yalidine,0,Adrar,45,south,2,stopdesk,1,1100.0,924.0,1000.0,550.0,1100.0,5,,,,,,,,,,,,,,,2025-ish,public tariff table; destination tariff; source context not stated,Tarifs de Livraison Yalidine en Algérie,https://fr.scribd.com/document/876773342/YALIDINE-PROMOTECH,"Public tariff reference. Missing parcel, route, traffic/weather and WASSIL-history features must be populated from verified data before supervised training."
ZR Express,1,Adrar,45,south,2,stopdesk,1,970.0,924.0,1000.0,550.0,1100.0,5,,,,,,,,,,,,,,,2024/2025-era,public tariff table; départ Alger,Tarifs de Livraison ZR Express 2024/2025,https://fr.scribd.com/document/846725215/ALGER-TARIFS-1-NEW-1-1,"Public tariff reference. Missing parcel, route, traffic/weather and WASSIL-history features must be populated from verified data before supervised training."
